Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
2.1362994350282487,31,2019,0,0,3470,101,26,20,56,10,35.5,0,0,4,2,0.5,90.32,0,0.0,357.5,2147.0,82.0,3.0,1.0,8.14,26.18,45.0,7.5,77.59,28.12,8.2,58.0,38.43,76.0,6.0,3.0,5.0,8.0,4.0,66.67,0.8,18.0,0.0,0.0,0.0,9.94,0.0,1988,0,0,1,0,1,0
6.249999999999999,30,2016,0,0,3514,119,59,21,340,34,36.12,1,0,22,17,0.558823529,108.28,1,0.016949153,420.4,2524.0,90.0,3.0,0.0,7.73,28.04,308.0,9.33,110.39,28.21,7.65,75.0,35.99,97.0,12.0,4.0,12.0,17.0,5.67,68.0,0.91,36.0,7.0,47.0,30.86,9.14,10.29,1986,0,0,1,0,1,0
3.618421052631579,29,2015,0,0,3514,119,59,21,340,34,36.12,1,0,22,17,0.558823529,108.28,1,0.016949153,420.4,2524.0,90.0,3.0,0.0,7.73,28.04,291.0,9.7,114.57,27.94,7.48,68.0,34.85,85.0,3.0,1.0,1.0,1.0,1.0,0.0,0.2,12.0,3.0,26.0,24.0,6.5,17.65,1986,0,0,1,0,1,0
4.4642857142857135,28,2016,1,0,3542,54,20,7,120,36,37.06,1,0,8,4,0.466666667,112.15,0,0.0,201.0,1206.0,47.0,4.0,0.0,8.67,25.66,17.0,8.5,130.77,34.2,8.58,10.0,48.9,15.0,7.0,3.0,7.0,13.0,13.0,144.44,1.28,28.0,6.0,41.17,28.0,8.82,15.0,1988,0,0,1,0,0,1
1.5,34,2022,1,1,3542,54,20,7,120,36,37.06,1,0,8,4,0.466666667,112.15,0,0.0,201.0,1206.0,47.0,4.0,0.0,8.67,25.66,118.0,13.11,124.21,30.97,8.68,30.0,44.77,43.0,3.0,1.0,3.0,3.0,3.0,60.0,0.72,12.0,3.0,31.67,24.0,7.92,13.64,1988,0,0,1,0,0,1
1.8219512195121952,26,2014,1,1,3542,54,20,7,120,36,37.06,1,0,8,4,0.466666667,112.15,0,0.0,201.0,1206.0,47.0,4.0,0.0,8.67,25.66,118.0,13.11,124.21,28.5,8.74,4.0,41.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,41.5,28.5,8.74,14.81,1988,0,0,1,0,0,1
1.1196043165467624,30,2018,1,1,3542,54,20,7,120,36,37.06,1,0,8,4,0.466666667,112.15,0,0.0,201.0,1206.0,47.0,4.0,0.0,8.67,25.66,54.0,9.0,154.29,30.0,8.31,21.0,41.55,29.0,3.0,1.0,7.0,7.0,7.0,233.33,1.39,10.0,3.0,32.0,20.0,9.6,18.75,1988,0,0,1,0,0,1
9.353741496598639,29,2013,0,0,3569,44,17,7,99,42,34.78,1,0,6,8,0.727272727,139.44,1,0.058823529,148.0,888.0,37.0,2.0,0.0,8.7,24.0,54.0,9.0,117.39,23.6,8.47,30.0,33.3,35.0,6.0,1.0,4.0,4.0,4.0,50.0,0.43,24.0,3.0,69.0,48.0,8.63,8.11,1984,0,0,1,0,1,0
1.0060975609756098,33,2017,0,0,3569,44,17,7,99,42,34.78,1,0,6,8,0.727272727,139.44,1,0.058823529,148.0,888.0,37.0,2.0,0.0,8.7,24.0,99.0,9.9,139.44,23.68,8.6,37.0,33.92,43.0,8.0,5.0,42.0,45.0,11.25,180.0,3.4,28.0,7.0,36.57,24.0,9.14,20.0,1984,0,0,1,0,1,0
4.934451219512195,28,2014,0,1,3574,92,22,10,16,3,26.2,0,0,0,0,0.0,35.56,0,0.0,316.3,1899.0,89.0,5.0,0.0,7.37,21.34,12.0,1.09,32.43,18.95,7.18,85.0,22.69,79.0,16.0,3.0,1.0,2.0,2.0,0.0,0.08,52.2,16.0,23.81,19.63,7.28,14.68,1986,0,0,1,0,1,0
0.8223684210526316,29,2015,0,0,3574,92,22,10,16,3,26.2,0,0,0,0,0.0,35.56,0,0.0,316.3,1899.0,89.0,5.0,0.0,7.37,21.34,16.0,1.33,35.56,21.2,7.34,89.0,25.94,91.0,12.0,3.0,2.0,4.0,4.0,0.0,0.22,46.0,4.0,95.0,69.0,8.26,7.41,1986,0,0,1,0,1,0
1.5182926829268293,25,2014,1,1,3642,33,14,4,65,16,26.77,0,0,4,1,0.338461538,81.25,0,0.0,120.3,723.0,35.0,4.0,0.0,7.78,20.66,61.0,7.63,83.56,19.55,7.34,20.0,23.9,18.0,4.0,1.0,5.0,5.0,5.0,71.43,0.8,14.5,6.0,22.83,14.83,9.24,22.22,1989,0,0,1,0,0,1
11.224489795918366,37,2013,1,0,3697,29,3,2,4,3,28.54,0,0,0,0,0.0,30.77,0,0.0,107.3,645.0,28.0,2.0,0.0,7.43,23.04,4.0,4.0,30.77,21.92,7.31,24.0,26.71,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,15.5,12.0,7.75,33.33,1976,0,0,1,0,0,1
0.9353741496598639,30,2013,1,0,3736,18,13,5,159,51,45.17,1,1,14,1,0.389937107,92.98,2,0.153846154,59.0,354.0,12.0,0.0,0.0,9.19,29.5,156.0,26.0,94.55,34.67,8.62,9.0,49.78,16.0,6.0,4.0,51.0,90.0,30.0,93.75,9.98,18.0,5.0,35.6,21.6,9.89,16.67,1983,0,0,1,0,0,1
2.277439024390244,30,2014,0,1,3740,78,17,7,26,7,30.04,0,0,2,0,0.307692308,54.17,0,0.0,252.4,1516.0,69.0,5.0,1.0,8.2,21.97,15.0,1.88,51.72,20.33,7.9,51.0,26.75,55.0,13.0,5.0,6.0,9.0,4.5,81.82,0.5,49.0,16.0,29.06,18.38,9.49,24.62,1984,0,0,1,0,1,0
