,Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
182,1.2905487804878049,21,2014,0,1,4048,116,27,21,54,9,27.4,0,0,4,0,0.296296296,77.14,0,0.0,432.2,2594.0,124.0,11.0,2.0,7.86,20.92,52.0,8.67,81.25,12.0,7.44,7.0,14.88,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,14.88,12.0,7.44,27.59,1993,0,0,1,0,1,0
183,0.5,29,2022,0,1,4048,116,27,21,54,9,27.4,0,0,4,0,0.296296296,77.14,0,0.0,432.2,2594.0,124.0,11.0,2.0,7.86,20.92,52.0,8.67,81.25,19.63,7.78,112.0,25.44,99.0,7.0,2.0,8.0,8.0,8.0,114.29,0.75,23.3,3.0,67.67,47.0,8.64,10.0,1993,0,0,1,0,1,0
184,0.1785714285714285,30,2016,0,0,4053,9,2,1,0,0,44.8,0,0,0,0,0.0,0.0,0,0.0,23.0,138.0,5.0,0.0,0.0,9.74,27.6,0.0,0.0,0.0,25.2,9.67,5.0,40.6,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,12.0,9.0,16.67,1986,0,0,1,0,1,0
185,1.6794064748201436,28,2018,0,1,4058,42,15,7,26,6,32.63,0,0,1,0,0.153846154,59.09,0,0.0,142.4,856.0,38.0,3.0,0.0,8.69,22.53,24.0,4.0,68.57,22.57,8.78,35.0,33.03,38.0,5.0,3.0,1.0,2.0,1.0,50.0,0.22,18.0,5.0,36.2,21.6,10.06,23.81,1990,0,0,1,0,1,0
186,6.5,32,2022,0,1,4063,145,20,13,37,8,21.69,0,0,0,0,0.0,43.02,0,0.0,528.5,3173.0,187.0,19.0,7.0,7.67,16.97,32.0,5.33,41.03,17.61,7.59,138.0,22.28,114.0,15.0,2.0,8.0,10.0,0.0,37.04,0.43,53.0,18.0,20.78,17.67,7.06,18.75,1990,0,0,1,0,1,0
187,6.717625899280574,28,2018,0,1,4063,145,20,13,37,8,21.69,0,0,0,0,0.0,43.02,0,0.0,528.5,3173.0,187.0,19.0,7.0,7.67,16.97,15.0,5.0,53.57,17.01,7.9,70.0,22.41,56.0,13.0,6.0,4.0,13.0,4.33,50.0,0.7,43.3,14.0,23.79,18.64,7.66,17.95,1990,0,0,1,0,1,0
188,3.571428571428571,28,2016,0,0,4066,92,23,14,104,28,28.77,0,0,7,2,0.384615385,96.3,1,0.043478261,297.5,1787.0,86.0,7.0,1.0,8.31,20.78,23.0,7.67,54.76,18.35,7.99,54.0,24.44,52.0,11.0,2.0,3.0,4.0,2.0,36.36,0.24,35.0,13.0,21.31,16.15,7.91,22.41,1988,0,0,1,0,1,0
189,1.6701219512195125,26,2014,0,1,4066,92,23,14,104,28,28.77,0,0,7,2,0.384615385,96.3,1,0.043478261,297.5,1787.0,86.0,7.0,1.0,8.31,20.78,23.0,7.67,54.76,17.69,7.97,36.0,23.5,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,8.0,18.88,14.0,8.09,21.05,1988,0,0,1,0,1,0
190,0.8397032374100718,30,2018,0,1,4066,92,23,14,104,28,28.77,0,0,7,2,0.384615385,96.3,1,0.043478261,297.5,1787.0,86.0,7.0,1.0,8.31,20.78,23.0,7.67,54.76,18.63,7.97,76.0,24.75,72.0,6.0,1.0,1.0,1.0,1.0,0.0,0.09,18.5,3.0,57.67,37.67,9.19,15.79,1988,0,0,1,0,1,0
191,0.1785714285714285,27,2016,0,0,4071,5,0,0,0,0,75.5,0,0,0,0,0.0,0.0,0,0.0,16.0,96.0,2.0,0.0,0.0,9.44,48.0,0.0,0.0,0.0,48.0,9.44,2.0,75.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.5,0.0,1989,0,0,1,0,1,0
